ward_old,street_name,odd_even,numbers,ward_new,notes,
Broomhill,Ainsley Road,,,Crookes & Crosspool,added,
Broomhill,Alpine Road,,,Walkley,,
Broomhill,Antrim Avenue,,,Broomhill & Sharrow Vale,,
Broomhill,Ashberry Road,odds,,Walkley,delete,
Broomhill,Ashdell Road,,,Broomhill & Sharrow Vale,,
Broomhill,Ashgate Close,,,Broomhill & Sharrow Vale,,
Broomhill,Ashgate Road,,,Broomhill & Sharrow Vale,,
Broomhill,Ashgrove,,,Broomhill & Sharrow Vale,,
Broomhill,Barber Crescent,,,Broomhill & Sharrow Vale,,
Broomhill,Barber Place,,,Broomhill & Sharrow Vale,,
Broomhill,Barber Road,,,Broomhill & Sharrow Vale,delete,
Broomhill,Beaufort Road,,,Broomhill & Sharrow Vale,,
Broomhill,Beech Hill Road,,,Broomhill & Sharrow Vale,,
Broomhill,Beehive Road,,,Broomhill & Sharrow Vale,,
Broomhill,Betjeman Gardens,,,Broomhill & Sharrow Vale,,
Broomhill,Birkendale,,,Walkley,,
Broomhill,Birkendale Road,,,Walkley,delete,
Broomhill,Birkendale View,,,Walkley,delete,
Broomhill,Botanical Road,,,Broomhill & Sharrow Vale,,
Broomhill,Bower Road,,,Broomhill & Sharrow Vale,,
Broomhill,Bristol Road,,,Broomhill & Sharrow Vale,,
Broomhill,Brocco Bank,,,Broomhill & Sharrow Vale,,
Broomhill,Broomfield Road,,,Broomhill & Sharrow Vale,,
Broomhill,Broomgrove Crescent,,,Broomhill & Sharrow Vale,,
Broomhill,Broomgrove Lane,,,Broomhill & Sharrow Vale,,
Broomhill,Broomgrove Road,,,Broomhill & Sharrow Vale,,
Broomhill,Broomhall Place,,,Broomhill & Sharrow Vale,,
Broomhill,Broomhall Road,,,Broomhill & Sharrow Vale,,
Broomhill,Bruce Road,,,Broomhill & Sharrow Vale,,
Broomhill,Burns Road,,"1-41,2-46",Walkley,,
Broomhill,Burns Road,,"43-85,48-74",Broomhill & Sharrow Vale,,
Broomhill,Caxton Road,,,Broomhill & Sharrow Vale,,
Broomhill,Cemetery Avenue,,,Broomhill & Sharrow Vale,,
Broomhill,Chandos Street,,,Broomhill & Sharrow Vale,,
Broomhill,Chesterwood Drive,,,Broomhill & Sharrow Vale,,
Broomhill,Claremont Crescent,,,Broomhill & Sharrow Vale,,
Broomhill,Clarke Dell,,,Broomhill & Sharrow Vale,,
Broomhill,Clarke Drive,,,Broomhill & Sharrow Vale,,
Broomhill,Clarke Square,,,Broomhill & Sharrow Vale,,
Broomhill,Clarkegrove Road,,,Broomhill & Sharrow Vale,,
Broomhill,Clarkehouse Road,,,Broomhill & Sharrow Vale,,
Broomhill,Clarkson Street,,,Broomhill & Sharrow Vale,,
Broomhill,College Street,,,Broomhill & Sharrow Vale,,
Broomhill,Collegiate Crescent,,,Broomhill & Sharrow Vale,,
Broomhill,Commonside,odds,1-17,Walkley,,
Broomhill,Conduit Road,,,Crookes & Crosspool,delete,
Broomhill,Conduit Road,,,Crookes & Crosspool,added,
Broomhill,Crookes Road,,,Broomhill & Sharrow Vale,,
Broomhill,Crookes Valley Road,,,Broomhill & Sharrow Vale,,
Broomhill,Crookesmoor Drive,,,Walkley,delete,
Broomhill,Crookesmoor Road,evens,344-500,Crookes & Crosspool,added (Spring Hill - Roslin Road).,
Broomhill,Crookesmoor Road,,,Broomhill & Sharrow Vale,,
Broomhill,Crookesmoor Road,,,Broomhill,,
Broomhill,Daniel Hill Court,,,Walkley,delete,
Broomhill,Daniel Hill Street,,,Walkley,delete,
Broomhill,Denham Road,,,Broomhill & Sharrow Vale,,
Broomhill,Dover Road,,,Broomhill & Sharrow Vale,,
Broomhill,East Grove Road,,,Broomhill & Sharrow Vale,,
Broomhill,Eastwood Road,,,Broomhill & Sharrow Vale,,
Broomhill,Ecclesall Road,odds,1-551,Broomhill & Sharrow Vale,,
Broomhill,Ecclesall Road,evens,,Broomhill & Sharrow Vale,,
Broomhill,Elliott Road,,,Broomhill & Sharrow Vale,,
Broomhill,Elmore Road,,,Broomhill & Sharrow Vale,,
Broomhill,Embankment Road,,,Crookes & Crosspool,delete,
Broomhill,Embankment Road,,,Crookes & Crosspool,added,
Broomhill,Endcliffe Avenue,,,Fulwood,delete,
Broomhill,Endcliffe Crescent,,,Fulwood,delete,
Broomhill,Endcliffe Glen Road,,,Broomhill & Sharrow Vale,,
Broomhill,Endcliffe Rise Road,,,Broomhill & Sharrow Vale,,
Broomhill,Endcliffe Terrace Road,,,Broomhill & Sharrow Vale,,
Broomhill,Endcliffe Vale Avenue,,,Broomhill & Sharrow Vale,,
Broomhill,Endcliffe Vale Road,odds,1-33,Broomhill & Sharrow Vale,,
Broomhill,Endcliffe Vale Road,odds,,Fulwood,delete,"Including The Glade, Laurel Court and Linden Court"
Broomhill,Everton Road,,,Broomhill & Sharrow Vale,,
Broomhill,Fulton Road,,,Walkley,delete,
Broomhill,Fulwood Road,,,Broomhill & Sharrow Vale,,
Broomhill,Glebe Road,,,Crookes & Crosspool,delete,
Broomhill,Glebe Road,,,Crookes & Crosspool,added,
Broomhill,Glossop Road,,"423-501,412-498",Broomhill & Sharrow Vale,,
Broomhill,Glossop Road,,,Broomhill & Sharrow Vale,,
Broomhill,Hallamgate Road,,,Broomhill & Sharrow Vale,,
Broomhill,Harcourt Crescent,,,Broomhill & Sharrow Vale,,
Broomhill,Harcourt Road,,,Broomhill & Sharrow Vale,,
Broomhill,Harefield Road,,,Broomhill & Sharrow Vale,,
Broomhill,Harland Road,,,Broomhill & Sharrow Vale,,
Broomhill,Hickmott Road,,,Broomhill & Sharrow Vale,,
Broomhill,Highnam Crescent Road,,,Broomhill & Sharrow Vale,,
Broomhill,Hoole Lane,,,Broomhill & Sharrow Vale,,
Broomhill,Hoole Road,,,Broomhill & Sharrow Vale,,
Broomhill,Howard Road,,,Broomhill & Sharrow Vale,,
Broomhill,Ivy Drive,,,Broomhill & Sharrow Vale,,
Broomhill,Ivy Grove,,,Broomhill & Sharrow Vale,,
Broomhill,Kaye Place,,,Broomhill & Sharrow Vale,,
Broomhill,Khartoum Road,,,Broomhill & Sharrow Vale,,
Broomhill,Lawson Road,,,Broomhill & Sharrow Vale,,
Broomhill,Lydgate Lane,,,Broomhill & Sharrow Vale,,
Broomhill,Mackenzie Crescent,,,Broomhill & Sharrow Vale,,
Broomhill,Manchester Road,,,Broomhill & Sharrow Vale,,
Broomhill,Marlborough Road,,,Broomhill & Sharrow Vale,,
